Iteration,Total Resources,Farmer Reward,Builder Reward,Trader Reward
1,31,5,-5,7
2,13,-5,5,7
3,25,5,5,-7
4,3,-5,0,0
5,13,5,5,7
6,25,5,5,-7
7,23,5,5,-7
8,21,5,-5,7
9,3,-5,0,0
10,13,5,5,-7
11,11,5,-10,-7
12,14,5,-10,7
13,31,5,-5,-7
14,19,5,5,-7
15,7,-10,5,0
16,2,-10,0,0
17,2,-10,0,0
18,2,-10,0,0
19,2,-10,0,0
20,12,5,-10,7
21,9,-5,5,0
22,14,5,-10,7
23,11,-5,-10,7
24,28,5,-5,7
25,30,5,-5,-7
26,8,-10,-10,0
27,18,5,5,7
28,30,5,-5,-7
29,8,-10,-10,0
30,8,-10,5,0
31,3,-10,0,0
32,13,5,-10,7
33,10,-5,5,-10
34,5,-10,5,0
35,0,-10,0,0
36,10,5,-10,7
37,7,-5,5,0
38,12,5,-10,7
39,9,-5,5,0
40,14,5,5,-7
41,2,-10,0,0
42,2,-10,0,0
43,2,-10,0,0
44,12,5,5,7
45,4,-5,0,0
46,14,5,5,-7
47,12,5,5,7
48,24,5,-5,7
49,26,5,5,-7
50,24,5,-5,-7
